"Years" "Means" "Category"
"1" 2006 0.149149149149149 "Threatened"
"2" 2007 0.172672672672673 "Threatened"
"3" 2008 0.141141141141141 "Threatened"
"4" 2009 0.188188188188188 "Threatened"
"5" 2010 0.202702702702703 "Threatened"
"6" 2011 0.256756756756757 "Threatened"
"7" 2012 0.260760760760761 "Threatened"
"8" 2013 0.301301301301301 "Threatened"
"9" 2014 0.441441441441441 "Threatened"
"10" 2015 0.315815815815816 "Threatened"
"11" 2016 0.307807807807808 "Threatened"
"12" 2017 0.338838838838839 "Threatened"
"13" 2018 0.34984984984985 "Threatened"
"14" 2019 0.291791791791792 "Threatened"
"15" 2006 0.00811359026369168 "Data Deficient"
"16" 2007 0.0162271805273834 "Data Deficient"
"17" 2008 0.0223123732251521 "Data Deficient"
"18" 2009 0.0324543610547667 "Data Deficient"
"19" 2010 0.0628803245436105 "Data Deficient"
"20" 2011 0.0689655172413793 "Data Deficient"
"21" 2012 0.0669371196754564 "Data Deficient"
"22" 2013 0.0547667342799189 "Data Deficient"
"23" 2014 0.0892494929006085 "Data Deficient"
"24" 2015 0.141987829614604 "Data Deficient"
"25" 2016 0.0933062880324544 "Data Deficient"
"26" 2017 0.0527383367139959 "Data Deficient"
"27" 2018 0.0791075050709939 "Data Deficient"
"28" 2019 0.0709939148073022 "Data Deficient"
"29" 2006 0.298233695652174 "Least Concern"
"30" 2007 0.28125 "Least Concern"
"31" 2008 0.276494565217391 "Least Concern"
"32" 2009 0.55366847826087 "Least Concern"
"33" 2010 0.41304347826087 "Least Concern"
"34" 2011 0.521739130434783 "Least Concern"
"35" 2012 0.570652173913043 "Least Concern"
"36" 2013 0.690896739130435 "Least Concern"
"37" 2014 0.709239130434783 "Least Concern"
"38" 2015 0.773097826086957 "Least Concern"
"39" 2016 0.793478260869565 "Least Concern"
"40" 2017 0.991847826086957 "Least Concern"
"41" 2018 0.855978260869565 "Least Concern"
"42" 2019 0.775815217391304 "Least Concern"
